objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdb_sde_neighborhood_2010_area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,globalid,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
1,233,42,3,140500,3,4.20031E+11,Block Group 3,G5030,S,172851,0,40.4523867,-79.9073195,6787.52765,71,7968760,136797.9793,48,2130,Point Breeze North,64,183.781,0.286,2,113,11,13891.87335,7968760.149,15,Ose Akinlotan,a642a6b6-a2a9-48d5-acf2-3e2ce87d4bc0,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:13,,8153647.191,14047.06502
2,203,42,3,140100,3,4.20031E+11,Block Group 3,G5030,S,291302,0,40.4427301,-79.9435821,8071.734942,66,34078712,136797.9793,55,2137,Squirrel Hill North,76,785.948,1.222,3,57,10,30343.65108,34078713.19,15,Ose Akinlotan,20d4605b-258e-441a-a57e-a28fdabb6d30,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:41,,34077387.78,30347.88682
3,86,42,3,101700,2,4.20031E+11,Block Group 2,G5030,S,217979,0,40.4672423,-79.94337,6586.683658,39,12751163,136797.9793,18,2100,Garfield,35,294.077,0.457,2,113,12,14574.32669,12751163.31,15,Ose Akinlotan,bf4065e7-c29c-48bd-b529-e7fd99077238,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:55,,12751161.07,14577.44157
4,214,42,3,50900,1,4.20031E+11,Block Group 1,G5030,S,462660,4114,40.4512373,-79.9745804,14216.9644,68,4997335.5,136797.9793,47,2129,Bedford Dwellings,7,115.252,0.179,3,81,15,14192.73823,4997335.35,15,Ose Akinlotan,fed3fb32-0cd3-4556-aa41-17ee03b4fe41,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:41,,4997845.082,14216.95921
5,173,42,3,300100,5,4.20033E+11,Block Group 5,G5030,S,121963,0,40.4109357,-79.9931744,5583.468613,59,8411048,198927.4161,85,2167,Knoxville,44,193.982,0.302,4,81,6,12000.76183,8411048.342,15,Thomas Scharff,8669d2f0-b886-4519-99d0-bb1015b592b0,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:19,,8410563.089,12003.26976
6,286,42,3,130400,3,4.20031E+11,Block Group 3,G5030,S,115917,0,40.449689,-79.8859784,6090.014007,75,11104194,136797.9793,45,2127,Homewood South,42,256.093,0.398,2,24,11,16565.7535,11104193.78,15,Ose Akinlotan,fa665cfe-97d0-4827-a202-3bca7d917a22,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:15,,10913137.6,16284.9018
7,348,42,3,50100,3,4.20031E+11,Block Group 3,G5030,S,308316,0,40.4459724,-79.9776953,7994.231364,84,8503223,136797.9793,53,2135,Middle Hill,51,196.108,0.305,3,25,15,14505.09158,8503222.962,15,Ose Akinlotan,ab7c6002-5eb8-40fb-871f-51c8acf71402,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:38,,8515980.676,14512.96315
8,313,42,3,562800,2,4.20036E+11,Block Group 2,G5030,S,653726,0,40.4269246,-80.0658036,15834.27699,79,7024962,198927.4161,71,2153,Oakwood,59,162.015,0.252,5,113,4,15925.73611,7024961.878,15,Thomas Scharff,253b724f-3c9d-4439-bf93-d912897f468c,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:57,,7024714.719,15918.47923
9,1,42,3,40400,1,4.2003E+11,Block Group 1,G5030,S,75472,0,40.4458408,-79.9483932,3813.620989,2,13904629,136797.9793,41,2123,North Oakland,56,320.679,0.499,3,25,14,20941.38603,13904629.06,15,Ose Akinlotan,773a7ef1-47aa-4f7d-9947-486b11bf5c0c,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:50,,13904691.37,20945.56257
10,77,42,3,191100,2,4.20032E+11,Block Group 2,G5030,S,884630,0,40.4386014,-80.0260996,13787.42504,36,17364276,198927.4161,61,2143,Duquesne Heights,25,400.468,0.623,5,57,6,19320.40705,17364275.06,15,Thomas Scharff,0edad5c4-6965-4f7d-9055-a976593c7c25,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:27,,17361817.9,19324.72102
